		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   32   23   16   24   26   25   29   26  6.655731 0.574190 SUCCESS   0
000000011   33   28   24   25   31   23   25   25  5.666071 0.684579 SUCCESS   1
000000101   29   21   30   20   26   26   24   24  3.766189 0.877579 SUCCESS   2
000000111   31   24   29   18   29   19   15   17 12.677761 0.123428 SUCCESS   3
000001001   30   19   26   27   28   24   21   29  4.902147 0.767982 SUCCESS   4
000001011   26   17   24   22   28   28   26   29  4.782990 0.780499 SUCCESS   5
000001101   23   25   18   24   22   23   30   27  3.782077 0.876231 SUCCESS   6
000001111   30   21   21   27   33   23   14   27 10.679906 0.220504 SUCCESS   7
000010001   31   22   24   28   21   25   23   21  3.723161 0.881197 SUCCESS   8
000010011   18   20   32   22   25   30   26   27  6.986059 0.538138 SUCCESS   9
000010101   19   24   27   30   25   36   25   21  9.079901 0.335601 SUCCESS  10
000010111   26   25   26   28   20   26   22   28  2.503794 0.961554 SUCCESS  11
000011001   17   24   19   29   30   35   24   29 11.452437 0.177357 SUCCESS  12
000011011   23   25   17   21   20   18   29   19  7.592432 0.474259 SUCCESS  13
000011101   17   23   24   20   29   19   26   22  5.712410 0.679410 SUCCESS  14
000011111   25   28   29   22   26   32   23   25  4.360647 0.823208 SUCCESS  15
000100011   18   22   27   28   17   29   25   16  9.034224 0.339417 SUCCESS  16
000100101   26   20   22   31   26   18   28   22  5.654818 0.685834 SUCCESS  17
000100111   23   26   34   31   36   30   24   22 13.225881 0.104310 SUCCESS  18
000101001   16   16   23   26   23   25   23   26  6.457799 0.596092 SUCCESS  19
000101011   21   30   23   22   29   34   28   18  9.232156 0.323092 SUCCESS  20
000101101   26   25   22   22   24   25   25   20  1.468457 0.993219 SUCCESS  21
000101111   26   31   17   26   17   30   17   28 10.899684 0.207448 SUCCESS  22
000110011   22   20   29   21   24   35   22   33 10.596497 0.225627 SUCCESS  23
